,xcoor,ycoor,ID
port 1,1.599231657,2.184570854,a
port 2,1.501721263,2.087822604,b
port 3,1.405269558,1.991074354,c
port 4,1.310110387,1.894326104,d
port 5,1.216547098,1.797577854,e
port 6,1.124977946,1.700829604,f
port 7,1.035931867,1.604081354,g
port 8,0.950118523,1.507333104,h
port 9,0.868496691,1.410584854,i
port 10,0.792362743,1.313836604,j
port 11,0.723451345,1.217088354,k
port 12,0.664014985,1.120340104,l
port 13,0.616798891,1.023591854,m
port 14,0.584770693,0.926843604,n
port 15,0.570494149,0.830095354,o
port 16,0.575292364,0.733347104,p
port 17,0.598706901,0.636598853,q
port 18,0.638693605,0.539850603,r
port 19,0.692387182,0.443102353,s
port 20,0.756876091,0.346354103,t
21,0.680461634,1.148969512,u
22,1.629,1.70333,v
